City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Paraiso,CR,2020-06-21 22:43:38,9.84,-83.87,72.0,83,75,8.05
154,Severo-Yeniseyskiy,RU,2020-06-21 22:43:38,60.37,93.04,48.43,90,82,1.39
155,Uchiza,PE,2020-06-21 22:43:38,-8.46,-76.46,75.42,70,15,1.3
156,Paredon,MX,2020-06-21 22:43:38,16.03,-93.87,85.73,74,35,5.23
157,Mar Del Plata,AR,2020-06-21 22:39:25,-38.0,-57.56,53.01,76,20,4.7
158,Souillac,MU,2020-06-21 22:43:38,-20.52,57.52,69.8,83,40,10.29
159,Nantucket,US,2020-06-21 22:39:01,41.28,-70.1,71.01,82,90,6.93
160,Elat,IL,2020-06-21 22:43:38,29.56,34.95,93.2,23,0,4.18
161,Tiksi,RU,2020-06-21 22:42:41,71.69,128.87,43.09,78,3,12.97
162,Yangjiang,CN,2020-06-21 22:43:38,21.85,111.97,82.11,89,100,7.9
163,Atambua,ID,2020-06-21 22:43:38,-9.11,124.89,71.51,80,84,4.47
164,Kavaratti,IN,2020-06-21 22:43:38,10.57,72.64,83.57,76,100,16.26
165,Shubarshi,KZ,2020-06-21 22:41:06,48.59,57.19,66.58,63,3,8.93
166,Grindavik,IS,2020-06-21 22:43:38,63.84,-22.43,57.2,62,99,23.04
167,Rocha,UY,2020-06-21 22:43:10,-34.48,-54.33,57.11,94,98,6.91
168,Lampa,CL,2020-06-21 22:43:38,-33.28,-70.9,57.2,62,75,5.82
169,Khasan,RU,2020-06-21 22:43:38,42.43,130.64,63.63,95,100,3.24
170,Bilma,NE,2020-06-21 22:43:38,18.69,12.92,84.63,14,0,1.57
171,Vardo,NO,2020-06-21 22:38:53,70.37,31.11,44.6,87,20,3.36
172,Paramonga,PE,2020-06-21 22:43:38,-10.67,-77.83,63.39,83,27,6.08
173,Belmonte,BR,2020-06-21 22:43:03,-15.86,-38.88,75.2,64,0,3.36
174,Yellowknife,CA,2020-06-21 22:40:41,62.46,-114.35,79.0,33,20,17.22
175,Longyearbyen,SJ,2020-06-21 22:43:39,78.22,15.64,41.0,69,20,1.45
176,Nikolskoye,RU,2020-06-21 22:42:33,59.7,30.79,59.0,67,0,6.71
177,Jamestown,US,2020-06-21 22:39:44,42.1,-79.24,84.2,39,1,6.93
178,Port-Gentil,GA,2020-06-21 22:39:06,-0.72,8.78,77.0,88,75,10.29
179,Moranbah,AU,2020-06-21 22:43:39,-22.0,148.05,65.35,41,0,10.54
180,Komatipoort,ZA,2020-06-21 22:43:39,-25.43,31.95,55.4,66,0,3.56
181,Chokurdakh,RU,2020-06-21 22:43:39,70.63,147.92,77.65,34,0,12.88
182,Balikpapan,ID,2020-06-21 22:43:39,-1.27,116.83,75.83,93,96,4.0
183,Saint Anthony,US,2020-06-21 22:43:39,45.02,-93.22,80.6,60,20,11.41
184,Surt,LY,2020-06-21 22:43:39,31.21,16.59,70.92,76,0,11.72
185,Tiznit,MA,2020-06-21 22:39:55,29.58,-9.5,69.69,59,0,1.81
186,Alexandria,EG,2020-06-21 22:43:39,31.22,29.96,74.5,71,0,11.07
187,Katsuura,JP,2020-06-21 22:43:39,35.13,140.3,69.01,100,75,13.87
188,Pemba,MZ,2020-06-21 22:43:39,-12.97,40.52,74.79,74,62,16.4
189,San Lorenzo,PY,2020-06-21 22:43:39,-25.33,-57.53,82.4,54,20,5.82
190,Yamada,JP,2020-06-21 22:43:39,39.47,141.95,68.11,76,100,5.57
191,Carupano,VE,2020-06-21 22:43:39,10.67,-63.26,79.83,84,31,13.31
192,Mount Darwin,ZW,2020-06-21 22:43:39,-16.77,31.58,59.09,51,93,0.87
193,Sitka,US,2020-06-21 22:43:39,57.05,-135.33,55.4,62,90,3.36
194,Necochea,AR,2020-06-21 22:43:39,-38.55,-58.74,51.01,81,12,3.0
195,Mataram,ID,2020-06-21 22:43:39,-8.58,116.12,71.6,100,20,5.79
196,Muroto,JP,2020-06-21 22:43:39,33.28,134.15,73.4,78,20,9.17
197,Ryotsu,JP,2020-06-21 22:43:39,38.08,138.43,69.8,83,94,6.93
198,Hamilton,US,2020-06-21 22:39:54,39.18,-84.53,77.0,78,20,4.7
199,Santa Rosalia,MX,2020-06-21 22:43:40,27.32,-112.28,88.41,32,0,5.95
200,Hithadhoo,MV,2020-06-21 22:43:40,-0.6,73.08,83.48,69,40,5.12
201,Alyangula,AU,2020-06-21 22:43:40,-13.85,136.42,69.8,100,0,3.36
202,Qasigiannguit,GL,2020-06-21 22:43:40,68.82,-51.19,46.4,64,13,4.7
203,Sioni,GE,2020-06-21 22:43:40,41.99,45.02,69.8,64,40,25.28
204,Narrabri,AU,2020-06-21 22:43:40,-30.32,149.78,46.4,75,69,5.82
205,Leningradskiy,RU,2020-06-21 22:43:40,69.38,178.42,54.73,58,15,4.47
206,Salalah,OM,2020-06-21 22:43:40,17.02,54.09,82.4,88,40,5.82
207,Okhotsk,RU,2020-06-21 22:39:48,59.38,143.3,52.84,74,100,8.21
208,Catamarca,AR,2020-06-21 22:43:40,-28.47,-65.79,60.93,69,17,4.79
209,Kavieng,PG,2020-06-21 22:43:40,-2.57,150.8,84.72,69,32,4.0
210,Birin,NP,2020-06-21 22:43:40,26.89,88.07,62.19,100,25,3.53
211,Tuxpan,MX,2020-06-21 22:43:40,19.55,-103.4,87.8,58,40,11.41
212,Palmer,US,2020-06-21 22:38:45,42.16,-72.33,91.4,36,75,5.82
213,Taltal,CL,2020-06-21 22:43:40,-25.4,-70.48,58.21,76,23,3.51
